k,bandwidth,mse
1,0.1,8.137724550898204
1,0.5,8.137724550898204
1,1.0,8.137724550898204
1,10.0,8.137724550898204
5,0.1,5.1827307065363595
5,0.5,5.1818831576678495
5,1.0,5.180855889236362
5,10.0,5.169351847900913
10,0.1,4.912151481176595
10,0.5,4.911067042243523
10,1.0,4.909735029321283
10,10.0,4.8913806119033225
20,0.1,5.096709208944272
20,0.5,5.09325098795441
20,1.0,5.088940102334133
20,10.0,5.017758574717326
30,0.1,5.1934700469591615
30,0.5,5.189170712604458
30,1.0,5.183781857382266
30,10.0,5.090490519858848
40,0.1,5.281455603183199
40,0.5,5.276624072927511
40,1.0,5.270537920980956
40,10.0,5.160766576850001
50,0.1,5.407217619268702
50,0.5,5.400919554182542
50,1.0,5.392990837227364
50,10.0,5.251516842214352
