k,bandwidth,threshold,mse
5,0.1,1,6.509774739596088
5,0.1,5,5.346956564275159
5,0.1,50,5.169351847900913
5,10.0,1,6.428689724901143
5,10.0,5,5.362013250408934
5,10.0,50,5.1827307065363595
10,0.1,1,6.541795535795449
10,0.1,5,5.179955303596249
10,0.1,50,4.8913806119033225
10,10.0,1,6.549701442936491
10,10.0,5,5.209867574578809
10,10.0,50,4.912151481176595
50,0.1,1,7.026854030571687
50,0.1,5,5.639988723109948
50,0.1,50,5.251516842214352
50,10.0,1,7.240140517445265
50,10.0,5,5.800417063815702
50,10.0,50,5.407217619268702
