k,bandwidth,threshold,mse
5,0.1,1,3.1844756441987627
5,0.1,5,2.9396195223026504
5,0.1,50,3.1193538496052264
5,10.0,1,3.0620990161051216
5,10.0,5,2.6000648573155223
5,10.0,50,2.7578815098883487
10,0.1,1,3.1214324380713956
10,0.1,5,2.742754987164015
10,0.1,50,2.866670945751757
10,10.0,1,2.8914319449667154
10,10.0,5,2.409592081979016
10,10.0,50,2.4664809658891387
50,0.1,1,3.059063692993581
50,0.1,5,2.5523947339544
50,0.1,50,2.6257510159587545
50,10.0,1,2.7125882183866836
50,10.0,5,2.2065403909513384
50,10.0,50,2.199867768038996
