k,bandwidth,threshold,mse
5,0.1,1,17583.119047619046
5,0.1,5,12406.949240517355
5,0.1,50,7434.998436085452
5,10.0,1,17583.119047619046
5,10.0,5,13618.346466690035
5,10.0,50,7611.587236723679
10,0.1,1,17583.119047619046
10,0.1,5,13001.66256824449
10,0.1,50,8057.423931581043
10,10.0,1,17583.119047619046
10,10.0,5,14903.32056151685
10,10.0,50,9066.020368002126
50,0.1,1,17583.119047619046
50,0.1,5,13230.001551425605
50,0.1,50,10035.046965684902
50,10.0,1,17583.119047619046
50,10.0,5,15648.672124003631
50,10.0,50,14309.167348940293
