h1,h2,mse
1,1,20.495570352655722
1,5,7.927653863792702
1,10,7.928651244453192
1,25,7.929222660860134
1,50,7.950937539808342
5,1,16.85355574509918
5,5,7.559339805038311
5,10,7.560103979441813
5,25,7.560769908035847
5,50,7.559782960575359
10,1,14.618084222442295
10,5,7.374900897795041
10,10,7.4079628723488895
10,25,7.408050870396056
10,50,7.408294051502475
25,1,11.849321480055789
25,5,13.184671570694714
25,10,7.249863023163021
25,25,7.248769252728574
25,50,7.248282599092377
50,1,10.713003132710487
50,5,11.183739451963286
50,10,11.578257928764637
50,25,7.173945194800024
50,50,7.17308945113344
