h1,h2,mse
1,1,5.879196818798923
1,5,5.7104781335047825
1,10,6.002587959492714
1,25,6.814768972276757
1,50,7.583492551264257
5,1,6.5702448971234615
5,5,6.1344075290596844
5,10,6.1693488763616475
5,25,6.48377303243714
5,50,6.842668809283106
10,1,6.67926379935285
10,5,6.4716116436125715
10,10,6.4334343030834855
10,25,6.558960681643472
10,50,6.766984810536731
25,1,6.788956400278828
25,5,6.711914250839733
25,10,6.690583366579307
25,25,6.706509494376773
25,50,6.781427127374769
50,1,6.729611837223753
50,5,6.806575729078131
50,10,6.807190855771864
50,25,6.81175831332393
50,50,6.843965400054858
