h1,h2,classerr
1,1,0.3395340501792115
1,5,0.03791986687147977
1,10,0.03827828981054787
1,25,0.0368484383000512
1,50,0.03648873527905785
5,1,0.3395340501792115
5,5,0.03613159242191499
5,10,0.035417306707629284
5,25,0.034701740911418325
5,50,0.03506016385048642
10,1,0.3395340501792115
10,5,0.2504953917050691
10,10,0.03506016385048642
10,25,0.03362903225806451
10,50,0.03398745519713261
25,1,0.3395340501792115
25,5,0.28433691756272406
25,10,0.03899513568868408
25,25,0.03577572964669738
25,50,0.03577444956477214
50,1,0.3395340501792115
50,5,0.03899641577060932
50,10,0.03398745519713261
50,25,0.040066564260112646
50,50,0.1592089093701997
