h1,h2,classerr
1,1,0.3395340501792115
1,5,0.07186123911930363
1,10,0.04221966205837174
1,25,0.0425768049155146
1,50,0.04150025601638505
5,1,0.3395340501792115
5,5,0.042571684587813616
5,10,0.07293650793650794
5,25,0.04400665642601127
5,50,0.04400537634408602
10,1,0.3395340501792115
10,5,0.1864592933947773
10,10,0.3395340501792115
10,25,0.094810547875064
10,50,0.04221838197644649
25,1,0.3395340501792115
25,5,0.3395340501792115
25,10,0.3395340501792115
25,25,0.3395340501792115
25,50,0.3395340501792115
50,1,0.3395340501792115
50,5,0.3395340501792115
50,10,0.3395340501792115
50,25,0.3395340501792115
50,50,0.3395340501792115
