h1,h2,classerr
1,1,0.30115765814423456
1,5,0.1348762145741748
1,10,0.1383502776940248
1,25,0.14225954289445544
1,50,0.1360360500927021
5,1,0.30115765814423456
5,5,0.11389149341326092
5,10,0.08755367573150259
5,25,0.06483339146534745
5,50,0.05658552552856185
10,1,0.30115765814423456
10,5,0.11229833919442242
10,10,0.08350723534445856
10,25,0.05976450048233204
10,50,0.060055192073872644
25,1,0.30115765814423456
25,5,0.11114101687016512
25,10,0.06613459264612442
25,25,0.06830327198981337
25,50,0.07611887093686621
50,1,0.30115765814423456
50,5,0.21128790416449506
50,10,0.6785818837609462
50,25,0.18842249171876418
50,50,0.09855580436946648
