h1,h2,mse
1,1,1.9355755900884202
1,5,1.9271886010796044
1,10,1.9269072433802716
1,25,1.9268626447395323
1,50,1.926843819492261
5,1,1.9491460244943568
5,5,1.9265664332382095
5,10,1.9259418689876824
5,25,1.9262754035808651
5,50,1.9265326983998439
10,1,1.9564788205983041
10,5,1.926003000018585
10,10,1.9253072966988836
10,25,1.9258237150137396
10,50,1.926211600574454
25,1,1.9468242508723985
25,5,1.9266707837752541
25,10,1.9250837344791538
25,25,1.925462275400191
25,50,1.9259781864211323
50,1,1.9350444285548598
50,5,1.928922189992507
50,10,1.9258801883228691
50,25,1.9256818020731479
50,50,1.9261308135097142
