h1,h2,mse
1,1,1.9252636180829974
1,5,1.926851616282749
1,10,1.9268650046600904
1,25,1.9268647363615528
1,50,1.92686458733376
5,1,1.9248760896265593
5,5,1.9268284395366286
5,10,1.9268597928809463
5,25,1.9268640636811198
5,50,1.9268645842440815
10,1,1.9251436493948364
10,5,1.9268140516362706
10,10,1.926859601728891
10,25,1.9268642633403075
10,50,1.9268641309413137
25,1,1.9259683619243664
25,5,1.926737459217577
25,10,1.9268480897709637
25,25,1.926861778543157
25,50,1.9268632097987257
50,1,1.9264751934661066
50,5,1.9267030767397535
50,10,1.9268375915921052
50,25,1.9268619164891216
50,50,1.9268623217423577
