h1,h2,classerr
1,1,0.3873563218390805
1,5,0.3149425287356322
1,10,0.24482758620689657
1,25,0.1988505747126437
1,50,0.23448275862068968
5,1,0.3873563218390805
5,5,0.14942528735632185
5,10,0.13045977011494253
5,25,0.1264367816091954
5,50,0.12931034482758622
10,1,0.3873563218390805
10,5,0.1454022988505747
10,10,0.12816091954022987
10,25,0.12931034482758622
10,50,0.12816091954022987
25,1,0.3873563218390805
25,5,0.1735632183908046
25,10,0.1264367816091954
25,25,0.12356321839080461
25,50,0.12528735632183907
50,1,0.3873563218390805
50,5,0.25459770114942526
50,10,0.12701149425287356
50,25,0.12643678160919541
50,50,0.12873563218390804
