h1,h2,classerr
1,1,0.3873563218390805
1,5,0.05977011494252874
1,10,0.05632183908045977
1,25,0.056896551724137934
1,50,0.056896551724137934
5,1,0.3873563218390805
5,5,0.05517241379310345
5,10,0.056896551724137934
5,25,0.05862068965517242
5,50,0.058045977011494256
10,1,0.3873563218390805
10,5,0.05517241379310345
10,10,0.05632183908045977
10,25,0.056896551724137934
10,50,0.0574712643678161
25,1,0.3873563218390805
25,5,0.05632183908045977
25,10,0.05632183908045977
25,25,0.05517241379310345
25,50,0.055747126436781605
50,1,0.3873563218390805
50,5,0.217816091954023
50,10,0.05632183908045977
50,25,0.12241379310344828
50,50,0.3873563218390805
