h1,h2,mse
1,1,21774.697361316834
1,5,21704.93152537978
1,10,21858.947034818433
1,25,21905.780949692118
1,50,21714.2653233491
5,1,21033.399088069684
5,5,20727.639826432358
5,10,21616.47818508649
5,25,20761.072965500724
5,50,21724.395099164125
10,1,17200.0528321547
10,5,22801.203011846006
10,10,21677.736745643608
10,25,21293.45789299967
10,50,20398.8360564877
25,1,20380.336481856608
25,5,12827.2822771137
25,10,11547.0148838396
25,25,14735.476729555394
25,50,20453.18554767794
50,1,27888.701521217437
50,5,25472.885589614518
50,10,13600.307935337823
50,25,10468.317705236683
50,50,13615.011334016366
